title	highlighted	title_short	type	conference	conf_short	conf_type	conf_url	venue	date	location	slides	abstract	notes
Extensiones quirales de toros (Chiral extensions of toroids)		extensionsToroids	Contributed talk	3rd national meeting of graduate students of mathematics	enaeposmat2018	National	https://matmor.unam.mx/eeposmat/	Centro de Ciencias Matemáticas, UNAM Morelia	29.08.18	Morelia, Mich. Mexico	yes	Un poliedro puede ser pensado como un montón de polígonos que se pegan unos con otros a través de sus aristas. Esta noción es puramente combinatoria y se extiende de manera natural a dimensiones superiores de manera recursiva, es decir, podemos pensar a los polígonos como objetos 2-dimensionales y para n > 3, hablar de objetos n-dimensionales construidos a partir de objetos (n - 1)- dimensionales. Este problema se vuelve retador cuando ciertas condiciones de simetría son impuestas. En la plática exploraremos esta situación y hablaremos brevemente sobre una construcción de este estilo para ciertas teselaciones del toro.	
Extensiones quirales de toros (Chiral extensions of toroids)		extensionsToroids	Contributed talk	51th National Conference of the Mexican Mathematical Society	smm2018	National	https://www.smm.org.mx/congreso/2018	Universidad Juárez Autonoma de Tabasco	23.10.18	Villahermosa, Tab. Mexico	yes	Un poliedro puede ser pensado como un montón de polígonos que se pegan unos con otros a través de sus aristas. Esta noción es puramente combinatoria y se extiende de manera natural a dimensiones superiores de manera recursiva, es decir, podemos pensar a los polígonos como objetos 2-dimensionales y para n > 3, hablar de objetos n-dimensionales construidos a partir de objetos (n - 1)- dimensionales. Este problema se vuelve retador cuando ciertas condiciones de simetría son impuestas. En la plática exploraremos esta situación y hablaremos brevemente sobre una construcción de este estilo para ciertas teselaciones del toro.	
Highly symmetric toroidal polytopes		toroidalPolyhedra	Contributed talk	9th Slovenian Conference on Graph Theory	9SiCGT	International	https://conferences.matheo.si/event/28/	Hotel Kompas	27.06.19	Bled, Slovenia	yes	In the talk we will review a technique that has been used to classify several kinds of highly symmetric abstract polytopes lying on a toroidal ambient space. We will focus not only on the abstract approach of the classifications but on visualizing such objects.	
¿Qué ch*****os hace un matemático puro y por qué les pagamos por ello?	yes	whyPureMath	Talk by invitation	"Cycle ""Tomando ciencia"""	tomandoCiencia	Local		Bar Giraluna	10.08.19	Morelia, Mich., Mexico	yes		
A family of regular hypertopes built from regular polytopes		halving	Talk by invitation	CMS Winter meeting 2019	cmswm2019	International	https://www2.cms.math.ca/Events/winter19/sessions_scientific	Chelsea Hotel	07.12.19	Toronto, ON., Canada	yes	A regular hypertope is a combinatorial object that generalises both regular hypermaps and regular polytopes. In this talk we will present a construction of a family of regular hypertopes with some preassigned conditions on their local combinatorics. This family is built from a family of regular polytopes.	
Toros cuadriculados muy simétricos (Highly symmetric squared tori)	yes	toroids	Invited speaker	Encuentro Nororiental de Matemáticas 2020 (online)	enm2020	International		University of Pamplona	18.11.20	Pamplona, Colombia	yes		
Highly symmetric polytopes with prescribed local combinatorics	yes	extensions	Talk by invitation	Algebraic graph theory international webminar (online)	agtiw	Seminar	http://euler.doa.fmph.uniba.sk/AGTIW.html		02.03.21		yes	Convex polyhedra and tilings of the Euclidean of hyperbolic plane can be thought as a family of polygons glued together along their edges. This idea extends to higher dimensions: a 4-dimensional cube can be thought as family of 3-dimensional cubes glued together along its 2-dimensional faces. This way of thinking polytopes gives rise to some natural questions: given a n-dimensional polytope K, can we build a (n+1)-dimensional polytope P such that all the facets (maximal proper faces of P) are isomorphic to K? how many of such P can we build? Usually the geometry plays an important role on those questions.In the talk we will explore variants of this question in the context of abstract polytopes, where the geometry is less relevant. In particular, we are interested in the situation where prescribed symmetry conditions are imposed on P.	
Extensiones de politopos áltamente simétricos (Extensions of highly symmetric polytopes)		extensions	Talk by invitation	Colloquium of the Institute of Mathematics UNAM (online)	coloquioIM	Local	https://www.matem.unam.mx/actividades/coloquio/cu/actividades/extensiones-de-politopos-altamente-simetricos	Institute of Mathematics UNAM	05.04.22	Mexico City, Mexico	yes	Un cubo puede ser pensado como una familia de cuadrados pegados por sus aristas. De manera similar, la teselación de cubos del espacio puede ser pensada como una familia de cubos pegados por sus caras cuadradas. Esta idea recursiva de construcción se puede entender no solo en el contexto de objetos geométricos como poliedros o teselaciones sino también en un contexto puramente combinatorio: el de los politopos abstractos. En la charla exploraremos una serie de problemas ligados a la pregunta: dado un politopo K de rango (dimensión) n, ¿Existe un politopo P de rango n+1 tal que todas las caras de rango n de P son isomorfas a K? De particular interés será cuando ponemos condiciones preestablecidas de simetría sobre P.	
Voltage operations on maniplexes, maps and polytopes		voltageOperations	Talk by invitation	Mathematics research seminar	seminarKoper	Seminar		Famnit, University of Primorska	14.11.22	Koper, Slovenia	yes	Geometrical operations such as truncation, duality, Petrie-duality, among others, arise naturally in the study of highly symmetric convex polyhedra. Often these operations do not generalise in an obvious way to combinatorial objects (such as abstract polytopes). In the talk we shall present a way to deal with many of these operations in a graph-theoretical setting using maniplexes, which are combinatorial generalisation of maps on surfaces and convex polytopes. We shall see how we could potentially use these operations to build maniplexes (or abstract polytopes) with prescribed symmetry type.	
Voltage operations on maniplexes, maps and polytopes		voltageOperations	Talk by invitation	Seminar Dicrete Mathematics UL FMF	dmFMF	Seminar		Faculty of Mathematics and Physics, University of Ljubljana	15.11.22	Ljubljana, Slovenia		Geometrical operations such as truncation, duality, Petrie-duality, among others, arise naturally in the study of highly symmetric convex polyhedra. Often these operations do not generalise in an obvious way to combinatorial objects (such as abstract polytopes). In the talk we shall present a way to deal with many of these operations in a graph-theoretical setting using maniplexes, which are combinatorial generalisation of maps on surfaces and convex polytopes. We shall see how we could potentially use these operations to build maniplexes (or abstract polytopes) with prescribed symmetry type.ˀ	
Cayley extensions of maniplexes and polytopes		cayleyExtensions	Contributed talk	10th Slovenian Conference on Graph Theory	10SiCGT	International	https://sicgt.si/	Hotel Kompas, Kranjska Gora	20.06.23	Kranjska Gora, Slovenia	yes	A map on a surface whose automorphism group has a subgroup acting regularly on its vertices is called a Cayley map. Cayley extensions are a generalisation of that notion to maniplexes and polytopes. We define M to be a Cayley extension of K if the facets of M are isomorphic to K and if some subgroup of the automorphism group of M acts regularly on the facets of M. We will show that many natural extensions in the literature on maniplexes and polytopes are in fact Cayley extensions. We will also describe several universal Cayley extensions and examine the possibilities for their symmetry type graph.	
No me amenaces... no me amenaces (con que ya son todos)		regPolyhedra	Talk by invitation	Math seminar FisMat UMSNH	mathFisMat	Seminar		Faculty of Physics and Mathematics, UMSNH	12.11.23	Morelia, Mich. Mexico	yes	Existen exactamente 5 poliedros regulares: los Sólidos Platónicos. Para muchos de nosotros éste es uno de los teoremas que más pronto aprendimos en nuestra formación y, con un poco de suerte, hasta lo demostramos. Es más, este teorema constituye el clímax del último libro de Los Elementos de Euclides... pero... ¿Sí?... En la platica vamos a analizar un poquito este famoso teorema y sobre todo, platicaremos algo de historia al respecto.	
Vertex trantisive graph with (very) small movement	yes	smallMovement	Contributed talk	Symmetries of Discrete Objects	sodo2024	International	https://jschillewaert.wixsite.com/sodo2024	University of Auckland	13.02.24	Auckland, New Zealand	yes	The motion of a graph is defined as the smallest number of vertices that are not fixed by a non-trivial automorphism. In the talk we will show a classification of the vertex transitive graphs whose motion is a prime number or a (very)small integer. We shall also explore how this problem connects with some classical permutation groups and graph theory problems.
