my_id,title,"conf_short","conf_type","conf_url","date","highlighted","location","notes","slides","title_short","type","venue","abstract"
1602_scdo_toroids,Equivelar toroids with few flag-orbits,scdo16,International,https://www.math.auckland.ac.nz/~dleemans/SCDO2016/,2016-02-16,No,"queenstownNZ",,Yes,toroids,Contributed,hotelRydges,"An (n+1)-toroid is a quotient of a tessellation of the n-dimensional euclidean space with a lattice group. Toroids are generalizations of maps in the torus on higher dimensions and also provide examples of abstract polytopes. Equivelar maps in the 2-torus (3-toroids) where classified by Brehem and Kühnel in 2008. In 2012 Hubard, Orbanić, Pellicer and Weiss classified equivelar 4-toroids. However, a complete classification for any dimension seems to be a very hard problem. In the talk we will present a classification of equivelar (n+1)-toroids with less than n flag-orbits; in particular, we will discuss a classification of 2-orbit toroids of arbitrary dimension."
1510_aquelarre_toroids,Teselaciones simétricas del toro n-dimensional (Symmetric tessellations of the n-dimensional torus),aquelarre15,Local,,2015-10-16,No,"mexicoMX",,Yes,toroids,Contributed,"fcUNAM",
1508_becariosCCM_coversPolyhedra,Politopos abstractos y algunos de sus grupos (Abstract polytopes and some of their groups),becariosCCM,Seminar,,2015-08-18,No,"moreliaMX",,No,coversPolyhedra,Contributed,"ccmUNAM",
1502_degMat_mosaicos,"Simetrías: un paseo por la geometría, los mosaicos y los grupos (Symmetries: a walk through geometry, tilings and groups)",degMat15,Local,,2015-02-14,No,"moreliaMX",,Yes,mosaicos,Contributed,"fismatUMSNH",
1407_sigmap_regPolyhedra3Torus,Regular polyhedra in the 3-torus,sigmap14,International,http://mcs.open.ac.uk/SIGMAP/,2014-07-07,Yes,"westMalvernGB",,Yes,regPolyhedra3Torus,Contributed,elimCF,"Since Grünbaum's paper about regular polyhedra in ordinary 3-space in the 70's, there has been a lot of work towards a classification symmetric polyhedra-like structures in several spaces. Coxeter, Schulte, McMullen and many other authors have studied symmetric tessellations of the n-dimensional torus. J. Bracho, in joint work with other authors found the regular polyhedra with planar faces in the projective space; a couple of years after, McMullen completed the list of regular projective polyhedra. In this talk we'll discuss the problem of classifying regular polyhedra in the 3-dimensional torus."
1404_becariosIM_regPolyhedra3Torus,Poliedros regulares en el 3-toro (Regular polyhedra in the 3-torus),becariosIM,Seminar,,2014-04-01,No,"mexicoMX",,No,regPolyhedra3Torus,By invitation,imUNAM,
1311_becariosCCM_regPolyhedra,"Poliedros regulares ¿Aún siguen de moda?  (Regular polyhedra, are they still trendy?)",becariosCCM,Seminar,,2013-11-08,No,"moreliaMX",,No,regPolyhedra,Contributed,"ccmUNAM",
1310_smm_regPolyhedra3Torus,Poliedros regulares en el 3-toro (Regular polyhedra in the 3-torus),smm13,National,,2013-10-28,No,"meridaMX",,Yes,regPolyhedra3Torus,Contributed,uaYuc,"En los 70's Grünbaum publicó una lista de 47 poliedros regulares que compartían algunas propiedades de simetría con los sólidos platónicos. En los 80's Dress encontró un poliedro más y probó que la lista de 48 poliedros regulares en el espacio euclidiano \(\mathbb{E}^3\) es completa.  En 1982 Danzer y Schulte introdujeron el concepto de politopo abstracto, concepto que generaliza a los polígonos y poliedros geométricos, rescatando su estructura combinatoria. En los 90's McMullen y Schulte prueban, partiendo de este concepto, que las lista de Grünbaum y Dress es completa.  Una vez resuelto el problema en el espacio euclidiano es natural preguntarse qué pasa en otros espacios. En la platica abordaremos el problema para el 3-toro \(\mathbb{T}^{3}_{\Lambda}:= \mathbb{E}^{3}/\Lambda\) donde \(\Lambda\) es un grupo generado por 3 traslaciones linealmente independientes."
1303_vnl_regPolyhedra3Torus,Poliedros regulares en el 3-toro (Regular polyhedra in the 3-torus),vnl13,National,,2013-03-05,No,"moreliaMX",,Yes,regPolyhedra3Torus,Contributed,"clavijero",
1211_dmFisMat_regPolyhedra3Torus,Poliedros regulares en pantalla de videojuegos (Regular polyhedra on a video games screen),dmFisMat,Seminar,,2012-11-10,No,"moreliaMX",,Yes,regPolyhedra3Torus,Contributed,"fismatUMSNH",
1205_dmFisMat_coloringsInfinite,Coloración en gráficas infinitas  (Colorings of infinite graphs),dmFisMat,Seminar,,2012-05-15,No,"moreliaMX",,Yes,coloringsInfinite,Contributed,"fismatUMSNH",
1110_smm_permutations,Permutaciones: ¿Funciones biyectivas o simples revolturas? (Permutations: bijections or just jumbles?),smm12,National,,2011-10-12,No,"slpMX",,Yes,permutations,Contributed,uaslp,"Dado un conjunto A con n elementos, las permutaciones de los elementos de dicho conjunto tienen dos grandes formas de estudio: Una de ellas es como objetos de carácter combinatorio, muy útiles para resolver variados problemas de conteo relacionados con la idea de revolver los elementos de A. Otra forma de pensar las permutaciones son como funciones biyectivas de A en sí mismo, lo cual nos lleva a trabajar las permutaciones como objetos algebraicos, de manera más específica, como elementos del grupo \(S_n\) lo que nos permite utilizar la fortaleza del álgebra en la solución de problemas. En la plática plantearemos problemas que, en principio, son de naturaleza combinatoria y no involucran la estructura algebraica de las permutaciones; sin embargo, usaremos las ventajas de ver las permutaciones como objetos algebraicos para obtener soluciones a tales problemas."
1103_vnl_trianglesProb,Una forma 'barata' de garantizar triángulos en una gráfica (A 'cheap' way of guarantee triangles in a graph),vnl12,National,,2011-03-11,No,"pachucaMX",,Yes,trianglesProb,Contributed,uaeh,
